model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_1_AutoML_1_20250829_103521,0.8717711096198297,0.4056356174283004,0.8550834076007792,0.1748154539353849,0.3527253302464835,0.1244151585974908
StackedEnsemble_AllModels_1_AutoML_1_20250829_103521,0.8685408877384718,0.4086247383197428,0.8544828125865005,0.1778592656504649,0.3535537430929557,0.1250002492550397
XRT_1_AutoML_1_20250829_103521,0.8679443752063827,0.4259429406759947,0.8475044429879369,0.1776195954366791,0.3597996713676498,0.1294558035162688
GBM_2_AutoML_1_20250829_103521,0.8672519945887792,0.4101573988599568,0.8547335052333014,0.1812865497076023,0.3549894236396762,0.1260174908960295
GBM_3_AutoML_1_20250829_103521,0.8672280275674006,0.4124236553031012,0.8539596754058199,0.1841625922730323,0.3559892550539508,0.1267283497138668
GBM_4_AutoML_1_20250829_103521,0.8670575954153751,0.4175206752803554,0.8529561859519977,0.1902262486818138,0.3588250648399428,0.1287554271573891
XGBoost_3_AutoML_1_20250829_103521,0.8642880729449611,0.4348482195654416,0.8322440394188891,0.1945642795513373,0.3653815178861281,0.1335036536127709
XGBoost_2_AutoML_1_20250829_103521,0.8641655748356927,0.4296522995229411,0.8367803914680805,0.195906432748538,0.3663446455959061,0.13420839935679
DRF_1_AutoML_1_20250829_103521,0.8640324247169229,0.5077542971306092,0.8314864647297616,0.1732336305243984,0.3615008024858258,0.130682830197896
XGBoost_1_AutoML_1_20250829_103521,0.8602056903034758,0.4323700762902809,0.8335713489197774,0.2027130668200556,0.3667936777123411,0.1345376020097447
GLM_1_AutoML_1_20250829_103521,0.8518145698185963,0.44893329712639,0.8160971910790128,0.2164941041127408,0.3775632053098358,0.1425539740038372
GBM_1_AutoML_1_20250829_103521,0.8464805760606738,0.4566522496689362,0.8222871246375615,0.2341577988687566,0.3807288135919713,0.14495442949915
